id,true_label,noaug_pred,aug_pred,noaug_correct,aug_correct,noaug_invalid,aug_invalid,outcome,invalid_transition,retrieved_id_noaug,retrieved_id_aug,similarity_noaug,similarity_aug
test_00038,Normal,Bipolar,Bipolar,False,False,False,False,both_wrong,valid_to_valid,train_05082,aug_train_05082_1,0.40608182549476624,0.41748544573783875
test_00039,Anxiety,Normal,Normal,False,False,False,False,both_wrong,valid_to_valid,train_01610,train_01610,0.607866644859314,0.6078665256500244
test_00040,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_03620,train_03620,0.6909228563308716,0.6909228563308716
test_00041,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04814,aug_train_01473_0,0.6907630562782288,0.7291350364685059
test_00042,Depression,Bipolar,Bipolar,False,False,False,False,both_wrong,valid_to_valid,train_01304,train_01304,0.5346896052360535,0.5346896648406982
test_00043,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04104,train_04104,0.7474092245101929,0.7474093437194824
test_00044,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00555,train_00555,0.38157808780670166,0.3815782070159912
test_00045,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_02314,train_02314,0.6617599725723267,0.6617599129676819
test_00046,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_02623,train_02623,0.8708226680755615,0.870822548866272
test_00047,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_03800,train_03800,0.8187353014945984,0.8187351822853088
test_00048,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02316,train_02316,0.6223053932189941,0.6223053932189941
test_00049,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_02304,aug_train_00824_0,0.6645686626434326,0.6754109859466553
test_00050,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_00147,aug_train_04948_0,0.5276158452033997,0.5562041401863098
test_00051,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_03510,train_03510,0.41018784046173096,0.4101877808570862
test_00052,Normal,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_05618,train_05618,0.5230741500854492,0.5230743885040283
test_00053,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_02889,train_02889,0.5373256802558899,0.5373258590698242
test_00054,Normal,Normal,Bipolar,True,False,False,False,noaug_only_correct,valid_to_valid,train_01534,aug_train_00230_1,0.5453343391418457,0.576663613319397
test_00055,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05731,train_05731,0.6207519769668579,0.620752215385437
test_00056,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04094,train_04094,0.4724856913089752,0.4724857211112976
test_00057,Depression,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_01283,train_01283,0.7089579105377197,0.7089579105377197
test_00058,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_01279,aug_train_02800_0,0.5096735954284668,0.5463569164276123
test_00059,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_05687,train_05687,0.8110476732254028,0.8110473155975342
test_00060,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_01124,aug_train_04695_0,0.5440750122070312,0.637362539768219
test_00061,Bipolar,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_04083,aug_train_04083_0,0.5345243215560913,0.5639592409133911
test_00062,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02471,train_02471,0.7115675210952759,0.7115676999092102
test_00063,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_02412,train_02412,0.8626086711883545,0.8626085519790649
test_00064,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02006,train_02006,0.5706526041030884,0.5706526637077332
test_00065,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_00830,aug_train_00830_0,0.6673130393028259,0.6761847138404846
test_00066,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05020,train_05020,0.5894075632095337,0.5894074440002441
test_00067,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_00916,aug_train_03163_1,0.8169362545013428,0.8529265522956848
test_00068,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00611,aug_train_00611_0,0.4586498737335205,0.48625218868255615
test_00069,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_05251,train_05251,0.27187350392341614,0.2718735337257385
test_00070,Depression,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_02323,train_02323,0.8140369057655334,0.8140368461608887
test_00071,Depression,INVALID,Depression,False,True,True,False,aug_only_correct,invalid_to_valid,train_00708,aug_train_00606_0,0.7817516326904297,0.7945963144302368
test_00072,Depression,Depression,Bipolar,True,False,False,False,noaug_only_correct,valid_to_valid,train_05574,train_05574,0.6843938827514648,0.6843940019607544
test_00073,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02683,train_02683,0.575228214263916,0.575228214263916
test_00074,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_05802,aug_train_00039_1,0.729936957359314,0.7678579092025757
test_00075,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_04638,train_04638,0.4912770986557007,0.49127715826034546
test_00076,Normal,Bipolar,Bipolar,False,False,False,False,both_wrong,valid_to_valid,train_01040,train_01040,0.48837006092071533,0.48837020993232727
test_00077,Normal,Bipolar,Depression,False,False,False,False,both_wrong,valid_to_valid,train_00230,aug_train_04462_1,0.4392971992492676,0.45323699712753296
test_00078,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_01442,aug_train_04411_1,0.6277622580528259,0.6732219457626343
test_00079,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04207,aug_train_01580_1,0.7488430738449097,0.7778905034065247
test_00080,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_01394,train_01394,0.7768674492835999,0.7768675088882446
test_00081,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_00392,train_00392,0.5043790340423584,0.5043790340423584
test_00082,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_03467,train_03467,0.426419198513031,0.4264192581176758
test_00083,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04774,train_04774,0.7714977264404297,0.7714979648590088
test_00084,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_04559,train_04559,0.6834555864334106,0.6834555864334106
test_00085,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_03322,aug_train_02441_1,0.25951772928237915,0.2976233959197998
test_00086,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_01341,aug_train_02856_0,0.7750611305236816,0.788171648979187
test_00087,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_03165,train_03165,0.40369921922683716,0.40369921922683716
test_00088,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_03761,aug_train_03761_0,0.46711504459381104,0.4888160228729248
test_00089,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02417,train_02417,0.5347627401351929,0.5347626209259033
test_00090,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04247,aug_train_04235_1,0.5360115766525269,0.5401687622070312
test_00091,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_01883,train_01883,0.7354617118835449,0.7354617118835449
test_00092,Normal,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_04716,train_04716,0.39187562465667725,0.39187562465667725
test_00093,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_04770,train_04770,0.5061750411987305,0.5061751008033752
test_00094,Depression,INVALID,Depression,False,True,True,False,aug_only_correct,invalid_to_valid,train_00342,aug_train_02085_0,0.6528564691543579,0.6592429876327515
test_00095,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05436,train_05436,0.7294986844062805,0.7294986844062805
test_00096,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02098,train_02098,0.795153796672821,0.7951538562774658
test_00097,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_03807,train_03807,0.739377498626709,0.7393776178359985
test_00098,Depression,Bipolar,Depression,False,True,False,False,aug_only_correct,valid_to_valid,train_01091,aug_train_01353_0,0.5791341662406921,0.629798412322998
test_00099,Normal,Anxiety,Normal,False,True,False,False,aug_only_correct,valid_to_valid,train_02227,aug_train_04064_0,0.4317106008529663,0.45173829793930054
test_00100,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04992,train_04992,0.7310594320297241,0.7310594916343689
test_00101,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_05316,train_05316,0.6332790851593018,0.6332791447639465
test_00102,Normal,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_02058,train_02058,0.4163414239883423,0.4163414239883423
test_00103,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_00110,aug_train_00110_0,0.830511748790741,0.8380751609802246
test_00104,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_04075,train_04075,0.5581346750259399,0.5581346750259399
test_00105,Depression,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_05427,train_05427,0.7185918688774109,0.7185920476913452
test_00106,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_03975,aug_train_02433_1,0.630739688873291,0.6868904829025269
test_00107,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_01810,train_01810,0.767043948173523,0.7670441269874573
test_00108,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_04707,aug_train_00956_1,0.3728782534599304,0.37632855772972107
test_00109,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05726,aug_train_02967_1,0.4665549099445343,0.5273867845535278
test_00110,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_01723,train_01723,0.6889312267303467,0.6889313459396362
test_00111,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00301,aug_train_03728_1,0.4138871729373932,0.499242901802063
test_00112,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_05844,train_05844,0.45823150873184204,0.45823150873184204
test_00113,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04121,train_04121,0.686509370803833,0.6865094900131226
test_00114,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_02360,aug_train_02360_1,0.6184087991714478,0.6885478496551514
test_00115,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_02285,aug_train_03620_0,0.5957202911376953,0.6290078163146973
test_00116,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05868,train_05868,0.804149329662323,0.8041493892669678
test_00117,Depression,Bipolar,Bipolar,False,False,False,False,both_wrong,valid_to_valid,train_01466,train_01466,0.5683947801589966,0.5683947205543518
test_00118,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_01596,train_01596,0.6613143086433411,0.6613142490386963
test_00119,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_03622,aug_train_01709_0,0.559205174446106,0.5844254493713379
test_00120,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_00162,aug_train_01803_1,0.6526219844818115,0.6782325506210327
test_00121,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04207,train_04207,0.7371705770492554,0.7371705770492554
test_00122,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_02057,train_02057,0.5199835300445557,0.5199834108352661
test_00123,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04771,train_04771,0.5388626456260681,0.5388625860214233
test_00124,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_00645,train_00645,0.788280725479126,0.7882808446884155
test_00125,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05919,train_05919,0.708156406879425,0.7081563472747803
test_00126,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_02234,aug_train_01711_0,0.7272619009017944,0.7407674193382263
test_00127,Bipolar,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_02978,aug_train_02241_1,0.5773597359657288,0.6323956251144409
test_00128,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00070,aug_train_00070_0,0.4537256360054016,0.48775172233581543
test_00129,Normal,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_00875,aug_train_00875_0,0.39642947912216187,0.48342612385749817
test_00130,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_01043,aug_train_02021_0,0.7602983713150024,0.7688810229301453
test_00131,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_00286,train_00286,0.7870833277702332,0.7870833873748779
test_00132,Depression,Bipolar,Bipolar,False,False,False,False,both_wrong,valid_to_valid,train_04143,aug_train_04143_1,0.5394927859306335,0.5616337060928345
test_00133,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_01216,aug_train_04549_1,0.6027778387069702,0.6044583320617676
test_00134,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_02492,aug_train_05625_0,0.3723847270011902,0.39241504669189453
test_00135,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_00033,train_00033,0.6682931780815125,0.6682931184768677
test_00136,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04646,train_04646,0.823866069316864,0.8238658905029297
test_00137,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04047,train_04047,0.5629063248634338,0.5629063844680786
test_00138,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05449,aug_train_03607_1,0.7657678127288818,0.7922108769416809
test_00139,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05573,train_05573,0.6991666555404663,0.6991667151451111
test_00140,Normal,Normal,Anxiety,True,False,False,False,noaug_only_correct,valid_to_valid,train_02865,aug_train_04746_1,0.3620028495788574,0.36889946460723877
test_00141,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02585,train_02585,0.581476092338562,0.581476092338562
test_00142,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_04414,train_04414,0.4446874260902405,0.44468748569488525
test_00143,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_02492,aug_train_05123_0,0.4277913272380829,0.45483124256134033
test_00144,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_02016,aug_train_02016_1,0.7861217260360718,0.800323486328125
test_00145,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_04714,train_04714,0.7884700298309326,0.7884698510169983
test_00146,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_00870,aug_train_05595_1,0.6835091710090637,0.7216150164604187
test_00147,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_02421,aug_train_00762_0,0.5578926205635071,0.624987006187439
test_00148,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_03864,train_03864,0.49878203868865967,0.4987819194793701
test_00149,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00649,train_00649,0.30728209018707275,0.30728214979171753
test_00150,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_03433,aug_train_03433_1,0.7120752334594727,0.7294101715087891
test_00151,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05658,train_05658,0.7939521074295044,0.7939519882202148
test_00152,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_02692,train_02692,0.6506370306015015,0.6506370306015015
test_00153,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04494,aug_train_00335_1,0.6622748970985413,0.6693140268325806
test_00154,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_05916,aug_train_02654_1,0.7258687019348145,0.7378593683242798
test_00155,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_04799,train_04799,0.4460057318210602,0.4460057020187378
test_00156,Normal,Bipolar,Bipolar,False,False,False,False,both_wrong,valid_to_valid,train_05257,aug_train_02752_0,0.5192641019821167,0.5675476789474487
test_00157,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00218,train_00218,0.5541968941688538,0.554196834564209
test_00158,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_04675,aug_train_04924_1,0.5159034729003906,0.5175126791000366
test_00159,Depression,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_00713,train_00713,0.6196311116218567,0.6196310520172119
test_00160,Depression,Bipolar,Bipolar,False,False,False,False,both_wrong,valid_to_valid,train_02877,aug_train_02877_0,0.32053428888320923,0.34676527976989746
test_00161,Bipolar,Anxiety,Anxiety,False,False,False,False,both_wrong,valid_to_valid,train_01319,aug_train_00715_0,0.5666861534118652,0.6134234666824341
test_00162,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_01451,train_01451,0.7861540913581848,0.7861539125442505
test_00163,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_05046,aug_train_02307_0,0.6967322826385498,0.7357747554779053
test_00164,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_02266,aug_train_04074_1,0.6110184192657471,0.6368082761764526
test_00165,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_04196,train_04196,0.6373662948608398,0.6373662948608398
test_00166,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05266,aug_train_03695_1,0.6957554817199707,0.7040731906890869
test_00167,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_03282,aug_train_00875_0,0.4114168882369995,0.47589635848999023
test_00168,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_01218,aug_train_01218_1,0.6766513586044312,0.6776071786880493
test_00169,Anxiety,Normal,Normal,False,False,False,False,both_wrong,valid_to_valid,train_00729,aug_train_05234_0,0.3562436103820801,0.3839355707168579
test_00170,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_05924,aug_train_00303_0,0.3473716974258423,0.37538692355155945
test_00171,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_03838,train_03838,0.7517768144607544,0.7517765760421753
test_00172,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_00615,train_00615,0.6175076961517334,0.6175075769424438
test_00173,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05018,train_05018,0.7467312812805176,0.746731162071228
test_00174,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_01949,aug_train_01949_0,0.7287336587905884,0.7362909913063049
test_00175,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_01465,train_01465,0.6286342144012451,0.6286340951919556
test_00176,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_03833,aug_train_04719_1,0.6392319202423096,0.6714781522750854
test_00177,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_04143,train_04143,0.6132153272628784,0.6132152080535889
test_00178,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00295,train_00295,0.35354673862457275,0.353546679019928
test_00179,Anxiety,Anxiety,Anxiety,True,True,False,False,both_correct,valid_to_valid,train_05791,aug_train_05791_1,0.6816099286079407,0.6939753293991089
test_00180,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_03794,train_03794,0.5788348317146301,0.5788347721099854
test_00181,Anxiety,INVALID,Depression,False,False,True,False,both_wrong,invalid_to_valid,train_01133,aug_train_04561_0,0.469538152217865,0.4867405295372009
test_00182,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00389,train_00389,0.43979591131210327,0.43979597091674805
test_00183,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_04874,aug_train_01608_0,0.7682275772094727,0.8179398775100708
test_00184,Bipolar,Depression,Bipolar,False,True,False,False,aug_only_correct,valid_to_valid,train_05718,aug_train_05722_0,0.7074934244155884,0.7235758304595947
test_00185,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_00007,train_00007,0.7139358520507812,0.7139358520507812
test_00186,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_03005,aug_train_03005_0,0.5048534274101257,0.5150769948959351
test_00187,Depression,INVALID,INVALID,False,False,True,True,both_wrong,invalid_to_invalid,train_01590,aug_train_01493_1,0.7076045274734497,0.7250251173973083
test_00188,Bipolar,Bipolar,Bipolar,True,True,False,False,both_correct,valid_to_valid,train_02748,aug_train_02748_0,0.48659366369247437,0.5028310418128967
test_00189,Normal,Normal,Normal,True,True,False,False,both_correct,valid_to_valid,train_00250,train_00250,0.2877092957496643,0.2877092957496643
test_00190,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_00374,aug_train_00374_1,0.7559087872505188,0.7953007221221924
test_00191,Depression,Depression,Depression,True,True,False,False,both_correct,valid_to_valid,train_02272,train_02272,0.5124991536140442,0.5124991536140442
