id,nested_source_id,source_id,old_split,new_split,nested_role
train_04800,train_04800,train_04800,train,train,train_legacy
train_01153,train_01153,train_01153,train,train,train_legacy
train_03721,train_03721,train_03721,train,train,train_legacy
train_05739,train_05739,train_05739,train,train,train_legacy
train_04948,train_04948,train_04948,train,train,train_legacy
train_00553,train_00553,train_00553,train,train,train_legacy
train_00467,train_00467,train_00467,train,train,train_legacy
train_00509,train_00509,train_00509,train,train,train_legacy
train_00075,train_00075,train_00075,train,train,train_legacy
train_02292,train_02292,train_02292,train,train,train_legacy
train_02626,train_02626,train_02626,train,train,train_legacy
train_01978,train_01978,train_01978,train,train,train_legacy
train_00117,train_00117,train_00117,train,train,train_legacy
train_03773,train_03773,train_03773,train,train,train_legacy
train_00687,train_00687,train_00687,train,train,train_legacy
train_04178,train_04178,train_04178,train,train,train_legacy
train_02267,train_02267,train_02267,train,train,train_legacy
train_02188,train_02188,train_02188,train,train,train_legacy
train_03232,train_03232,train_03232,train,train,train_legacy
train_01058,train_01058,train_01058,train,train,train_legacy
train_04415,train_04415,train_04415,train,train,train_legacy
train_04589,train_04589,train_04589,train,train,train_legacy
train_added_val_confirm_00876,val_confirm_00876,val_confirm_00876,val_confirm,train,train_added
train_04328,train_04328,train_04328,train,train,train_legacy
train_01618,train_01618,train_01618,train,train,train_legacy
train_02677,train_02677,train_02677,train,train,train_legacy
train_04309,train_04309,train_04309,train,train,train_legacy
train_02635,train_02635,train_02635,train,train,train_legacy
train_05751,train_05751,train_05751,train,train,train_legacy
train_02668,train_02668,train_02668,train,train,train_legacy
train_01213,train_01213,train_01213,train,train,train_legacy
train_01588,train_01588,train_01588,train,train,train_legacy
train_03450,train_03450,train_03450,train,train,train_legacy
train_00017,train_00017,train_00017,train,train,train_legacy
train_03905,train_03905,train_03905,train,train,train_legacy
train_03323,train_03323,train_03323,train,train,train_legacy
train_04147,train_04147,train_04147,train,train,train_legacy
train_03868,train_03868,train_03868,train,train,train_legacy
train_00920,train_00920,train_00920,train,train,train_legacy
train_00407,train_00407,train_00407,train,train,train_legacy
train_added_test_02200,test_02200,test_02200,test,train,train_added
train_added_val_confirm_00485,val_confirm_00485,val_confirm_00485,val_confirm,train,train_added
train_04217,train_04217,train_04217,train,train,train_legacy
train_05436,train_05436,train_05436,train,train,train_legacy
train_04011,train_04011,train_04011,train,train,train_legacy
train_03030,train_03030,train_03030,train,train,train_legacy
train_02265,train_02265,train_02265,train,train,train_legacy
train_02820,train_02820,train_02820,train,train,train_legacy
train_01546,train_01546,train_01546,train,train,train_legacy
train_04909,train_04909,train_04909,train,train,train_legacy
train_03464,train_03464,train_03464,train,train,train_legacy
train_05872,train_05872,train_05872,train,train,train_legacy
train_04356,train_04356,train_04356,train,train,train_legacy
train_added_val_search_00297,val_search_00297,val_search_00297,val_search,train,train_added
train_05863,train_05863,train_05863,train,train,train_legacy
train_01308,train_01308,train_01308,train,train,train_legacy
train_04086,train_04086,train_04086,train,train,train_legacy
train_added_test_01515,test_01515,test_01515,test,train,train_added
train_05417,train_05417,train_05417,train,train,train_legacy
train_00657,train_00657,train_00657,train,train,train_legacy
train_00384,train_00384,train_00384,train,train,train_legacy
train_02586,train_02586,train_02586,train,train,train_legacy
train_03404,train_03404,train_03404,train,train,train_legacy
train_added_val_confirm_00283,val_confirm_00283,val_confirm_00283,val_confirm,train,train_added
train_05458,train_05458,train_05458,train,train,train_legacy
train_05185,train_05185,train_05185,train,train,train_legacy
train_05089,train_05089,train_05089,train,train,train_legacy
train_02695,train_02695,train_02695,train,train,train_legacy
train_00658,train_00658,train_00658,train,train,train_legacy
train_00317,train_00317,train_00317,train,train,train_legacy
train_03806,train_03806,train_03806,train,train,train_legacy
train_05552,train_05552,train_05552,train,train,train_legacy
train_04134,train_04134,train_04134,train,train,train_legacy
train_01421,train_01421,train_01421,train,train,train_legacy
train_02032,train_02032,train_02032,train,train,train_legacy
train_05450,train_05450,train_05450,train,train,train_legacy
train_01098,train_01098,train_01098,train,train,train_legacy
train_04520,train_04520,train_04520,train,train,train_legacy
train_02308,train_02308,train_02308,train,train,train_legacy
train_00754,train_00754,train_00754,train,train,train_legacy
train_04258,train_04258,train_04258,train,train,train_legacy
train_03412,train_03412,train_03412,train,train,train_legacy
train_03790,train_03790,train_03790,train,train,train_legacy
train_04837,train_04837,train_04837,train,train,train_legacy
train_added_val_search_00321,val_search_00321,val_search_00321,val_search,train,train_added
train_added_val_confirm_01068,val_confirm_01068,val_confirm_01068,val_confirm,train,train_added
train_added_val_confirm_00574,val_confirm_00574,val_confirm_00574,val_confirm,train,train_added
train_01624,train_01624,train_01624,train,train,train_legacy
train_03228,train_03228,train_03228,train,train,train_legacy
train_04140,train_04140,train_04140,train,train,train_legacy
train_added_val_search_00103,val_search_00103,val_search_00103,val_search,train,train_added
train_03924,train_03924,train_03924,train,train,train_legacy
train_00194,train_00194,train_00194,train,train,train_legacy
train_05586,train_05586,train_05586,train,train,train_legacy
train_00848,train_00848,train_00848,train,train,train_legacy
train_03889,train_03889,train_03889,train,train,train_legacy
train_03117,train_03117,train_03117,train,train,train_legacy
train_04758,train_04758,train_04758,train,train,train_legacy
train_00128,train_00128,train_00128,train,train,train_legacy
train_00348,train_00348,train_00348,train,train,train_legacy
train_02890,train_02890,train_02890,train,train,train_legacy
train_03795,train_03795,train_03795,train,train,train_legacy
train_04726,train_04726,train_04726,train,train,train_legacy
train_03813,train_03813,train_03813,train,train,train_legacy
train_added_test_01606,test_01606,test_01606,test,train,train_added
train_00076,train_00076,train_00076,train,train,train_legacy
train_02757,train_02757,train_02757,train,train,train_legacy
train_05448,train_05448,train_05448,train,train,train_legacy
train_02803,train_02803,train_02803,train,train,train_legacy
train_00092,train_00092,train_00092,train,train,train_legacy
train_00361,train_00361,train_00361,train,train,train_legacy
train_03375,train_03375,train_03375,train,train,train_legacy
train_added_test_00712,test_00712,test_00712,test,train,train_added
train_02079,train_02079,train_02079,train,train,train_legacy
train_02340,train_02340,train_02340,train,train,train_legacy
train_00501,train_00501,train_00501,train,train,train_legacy
train_01178,train_01178,train_01178,train,train,train_legacy
train_01813,train_01813,train_01813,train,train,train_legacy
train_added_test_02124,test_02124,test_02124,test,train,train_added
train_added_val_confirm_00546,val_confirm_00546,val_confirm_00546,val_confirm,train,train_added
train_00037,train_00037,train_00037,train,train,train_legacy
train_01125,train_01125,train_01125,train,train,train_legacy
train_00533,train_00533,train_00533,train,train,train_legacy
train_04246,train_04246,train_04246,train,train,train_legacy
train_05157,train_05157,train_05157,train,train,train_legacy
train_04163,train_04163,train_04163,train,train,train_legacy
train_00834,train_00834,train_00834,train,train,train_legacy
train_05251,train_05251,train_05251,train,train,train_legacy
train_01616,train_01616,train_01616,train,train,train_legacy
train_added_test_00192,test_00192,test_00192,test,train,train_added
train_02225,train_02225,train_02225,train,train,train_legacy
train_05055,train_05055,train_05055,train,train,train_legacy
train_03493,train_03493,train_03493,train,train,train_legacy
train_03427,train_03427,train_03427,train,train,train_legacy
train_01636,train_01636,train_01636,train,train,train_legacy
train_added_test_00702,test_00702,test_00702,test,train,train_added
train_05464,train_05464,train_05464,train,train,train_legacy
train_03956,train_03956,train_03956,train,train,train_legacy
train_04995,train_04995,train_04995,train,train,train_legacy
train_00554,train_00554,train_00554,train,train,train_legacy
train_02162,train_02162,train_02162,train,train,train_legacy
train_00397,train_00397,train_00397,train,train,train_legacy
train_04419,train_04419,train_04419,train,train,train_legacy
train_04654,train_04654,train_04654,train,train,train_legacy
train_03527,train_03527,train_03527,train,train,train_legacy
train_01084,train_01084,train_01084,train,train,train_legacy
train_02625,train_02625,train_02625,train,train,train_legacy
train_01967,train_01967,train_01967,train,train,train_legacy
train_00246,train_00246,train_00246,train,train,train_legacy
train_00300,train_00300,train_00300,train,train,train_legacy
train_02315,train_02315,train_02315,train,train,train_legacy
train_04556,train_04556,train_04556,train,train,train_legacy
train_added_val_confirm_00355,val_confirm_00355,val_confirm_00355,val_confirm,train,train_added
train_03633,train_03633,train_03633,train,train,train_legacy
train_05330,train_05330,train_05330,train,train,train_legacy
train_03490,train_03490,train_03490,train,train,train_legacy
train_03114,train_03114,train_03114,train,train,train_legacy
train_02165,train_02165,train_02165,train,train,train_legacy
train_05220,train_05220,train_05220,train,train,train_legacy
train_00122,train_00122,train_00122,train,train,train_legacy
train_added_val_confirm_00569,val_confirm_00569,val_confirm_00569,val_confirm,train,train_added
train_05169,train_05169,train_05169,train,train,train_legacy
train_05887,train_05887,train_05887,train,train,train_legacy
train_added_val_confirm_00322,val_confirm_00322,val_confirm_00322,val_confirm,train,train_added
train_02516,train_02516,train_02516,train,train,train_legacy
train_05828,train_05828,train_05828,train,train,train_legacy
train_04396,train_04396,train_04396,train,train,train_legacy
train_02078,train_02078,train_02078,train,train,train_legacy
train_04432,train_04432,train_04432,train,train,train_legacy
train_03871,train_03871,train_03871,train,train,train_legacy
train_03380,train_03380,train_03380,train,train,train_legacy
train_02404,train_02404,train_02404,train,train,train_legacy
train_added_val_search_00263,val_search_00263,val_search_00263,val_search,train,train_added
train_02427,train_02427,train_02427,train,train,train_legacy
train_03627,train_03627,train_03627,train,train,train_legacy
train_added_val_search_00213,val_search_00213,val_search_00213,val_search,train,train_added
train_05905,train_05905,train_05905,train,train,train_legacy
train_03530,train_03530,train_03530,train,train,train_legacy
train_04371,train_04371,train_04371,train,train,train_legacy
train_04244,train_04244,train_04244,train,train,train_legacy
train_03981,train_03981,train_03981,train,train,train_legacy
train_added_test_00872,test_00872,test_00872,test,train,train_added
train_04339,train_04339,train_04339,train,train,train_legacy
train_00349,train_00349,train_00349,train,train,train_legacy
train_01315,train_01315,train_01315,train,train,train_legacy
train_00491,train_00491,train_00491,train,train,train_legacy
train_added_test_01504,test_01504,test_01504,test,train,train_added
train_04626,train_04626,train_04626,train,train,train_legacy
train_03297,train_03297,train_03297,train,train,train_legacy
train_00862,train_00862,train_00862,train,train,train_legacy
train_03798,train_03798,train_03798,train,train,train_legacy
train_04778,train_04778,train_04778,train,train,train_legacy
train_05832,train_05832,train_05832,train,train,train_legacy
train_05017,train_05017,train_05017,train,train,train_legacy
train_04063,train_04063,train_04063,train,train,train_legacy
train_01448,train_01448,train_01448,train,train,train_legacy
train_04094,train_04094,train_04094,train,train,train_legacy
train_added_val_confirm_00497,val_confirm_00497,val_confirm_00497,val_confirm,train,train_added
train_03711,train_03711,train_03711,train,train,train_legacy
train_01512,train_01512,train_01512,train,train,train_legacy
train_01110,train_01110,train_01110,train,train,train_legacy
train_01565,train_01565,train_01565,train,train,train_legacy
train_04834,train_04834,train_04834,train,train,train_legacy
train_05091,train_05091,train_05091,train,train,train_legacy
train_01375,train_01375,train_01375,train,train,train_legacy
train_04261,train_04261,train_04261,train,train,train_legacy
train_03664,train_03664,train_03664,train,train,train_legacy
train_05800,train_05800,train_05800,train,train,train_legacy
train_03046,train_03046,train_03046,train,train,train_legacy
train_03130,train_03130,train_03130,train,train,train_legacy
train_added_test_00574,test_00574,test_00574,test,train,train_added
train_01413,train_01413,train_01413,train,train,train_legacy
train_00110,train_00110,train_00110,train,train,train_legacy
train_01820,train_01820,train_01820,train,train,train_legacy
train_01805,train_01805,train_01805,train,train,train_legacy
train_added_val_confirm_00017,val_confirm_00017,val_confirm_00017,val_confirm,train,train_added
train_01773,train_01773,train_01773,train,train,train_legacy
train_02950,train_02950,train_02950,train,train,train_legacy
train_02494,train_02494,train_02494,train,train,train_legacy
train_03405,train_03405,train_03405,train,train,train_legacy
train_01047,train_01047,train_01047,train,train,train_legacy
train_04124,train_04124,train_04124,train,train,train_legacy
train_05142,train_05142,train_05142,train,train,train_legacy
train_added_val_confirm_00906,val_confirm_00906,val_confirm_00906,val_confirm,train,train_added
train_02767,train_02767,train_02767,train,train,train_legacy
train_03085,train_03085,train_03085,train,train,train_legacy
train_01208,train_01208,train_01208,train,train,train_legacy
train_02445,train_02445,train_02445,train,train,train_legacy
train_01718,train_01718,train_01718,train,train,train_legacy
train_01271,train_01271,train_01271,train,train,train_legacy
train_01111,train_01111,train_01111,train,train,train_legacy
train_00603,train_00603,train_00603,train,train,train_legacy
train_02345,train_02345,train_02345,train,train,train_legacy
train_02014,train_02014,train_02014,train,train,train_legacy
train_added_test_02149,test_02149,test_02149,test,train,train_added
train_added_test_02163,test_02163,test_02163,test,train,train_added
train_02760,train_02760,train_02760,train,train,train_legacy
train_00394,train_00394,train_00394,train,train,train_legacy
train_04757,train_04757,train_04757,train,train,train_legacy
train_05099,train_05099,train_05099,train,train,train_legacy
train_00003,train_00003,train_00003,train,train,train_legacy
train_00332,train_00332,train_00332,train,train,train_legacy
train_03816,train_03816,train_03816,train,train,train_legacy
train_00936,train_00936,train_00936,train,train,train_legacy
train_05435,train_05435,train_05435,train,train,train_legacy
train_00983,train_00983,train_00983,train,train,train_legacy
train_04864,train_04864,train_04864,train,train,train_legacy
train_05668,train_05668,train_05668,train,train,train_legacy
train_added_test_02065,test_02065,test_02065,test,train,train_added
train_02943,train_02943,train_02943,train,train,train_legacy
train_03391,train_03391,train_03391,train,train,train_legacy
train_03023,train_03023,train_03023,train,train,train_legacy
train_added_val_confirm_00188,val_confirm_00188,val_confirm_00188,val_confirm,train,train_added
train_03010,train_03010,train_03010,train,train,train_legacy
train_02939,train_02939,train_02939,train,train,train_legacy
train_01128,train_01128,train_01128,train,train,train_legacy
train_00859,train_00859,train_00859,train,train,train_legacy
train_05518,train_05518,train_05518,train,train,train_legacy
train_added_test_00295,test_00295,test_00295,test,train,train_added
train_03910,train_03910,train_03910,train,train,train_legacy
train_05761,train_05761,train_05761,train,train,train_legacy
train_03203,train_03203,train_03203,train,train,train_legacy
train_04387,train_04387,train_04387,train,train,train_legacy
train_03547,train_03547,train_03547,train,train,train_legacy
train_01734,train_01734,train_01734,train,train,train_legacy
train_01919,train_01919,train_01919,train,train,train_legacy
train_03133,train_03133,train_03133,train,train,train_legacy
train_00426,train_00426,train_00426,train,train,train_legacy
train_04621,train_04621,train_04621,train,train,train_legacy
train_04148,train_04148,train_04148,train,train,train_legacy
train_00455,train_00455,train_00455,train,train,train_legacy
train_03091,train_03091,train_03091,train,train,train_legacy
train_05948,train_05948,train_05948,train,train,train_legacy
train_00561,train_00561,train_00561,train,train,train_legacy
train_02407,train_02407,train_02407,train,train,train_legacy
train_05305,train_05305,train_05305,train,train,train_legacy
train_01972,train_01972,train_01972,train,train,train_legacy
train_00994,train_00994,train_00994,train,train,train_legacy
train_04830,train_04830,train_04830,train,train,train_legacy
train_01450,train_01450,train_01450,train,train,train_legacy
train_04575,train_04575,train_04575,train,train,train_legacy
train_01716,train_01716,train_01716,train,train,train_legacy
train_04733,train_04733,train_04733,train,train,train_legacy
train_02253,train_02253,train_02253,train,train,train_legacy
train_added_val_confirm_00840,val_confirm_00840,val_confirm_00840,val_confirm,train,train_added
train_05921,train_05921,train_05921,train,train,train_legacy
train_01898,train_01898,train_01898,train,train,train_legacy
train_added_test_00667,test_00667,test_00667,test,train,train_added
train_04926,train_04926,train_04926,train,train,train_legacy
train_02060,train_02060,train_02060,train,train,train_legacy
train_03860,train_03860,train_03860,train,train,train_legacy
train_03171,train_03171,train_03171,train,train,train_legacy
train_added_val_confirm_00173,val_confirm_00173,val_confirm_00173,val_confirm,train,train_added
train_05699,train_05699,train_05699,train,train,train_legacy
train_04137,train_04137,train_04137,train,train,train_legacy
train_03429,train_03429,train_03429,train,train,train_legacy
train_03251,train_03251,train_03251,train,train,train_legacy
train_03204,train_03204,train_03204,train,train,train_legacy
train_02415,train_02415,train_02415,train,train,train_legacy
train_04010,train_04010,train_04010,train,train,train_legacy
train_03236,train_03236,train_03236,train,train,train_legacy
train_04428,train_04428,train_04428,train,train,train_legacy
train_04459,train_04459,train_04459,train,train,train_legacy
train_05665,train_05665,train_05665,train,train,train_legacy
train_01764,train_01764,train_01764,train,train,train_legacy
train_04942,train_04942,train_04942,train,train,train_legacy
train_01925,train_01925,train_01925,train,train,train_legacy
train_01471,train_01471,train_01471,train,train,train_legacy
train_added_val_search_00150,val_search_00150,val_search_00150,val_search,train,train_added
train_02354,train_02354,train_02354,train,train,train_legacy
train_03507,train_03507,train_03507,train,train,train_legacy
train_00402,train_00402,train_00402,train,train,train_legacy
train_05104,train_05104,train_05104,train,train,train_legacy
train_05788,train_05788,train_05788,train,train,train_legacy
train_05005,train_05005,train_05005,train,train,train_legacy
train_01184,train_01184,train_01184,train,train,train_legacy
train_01296,train_01296,train_01296,train,train,train_legacy
train_00542,train_00542,train_00542,train,train,train_legacy
train_added_val_confirm_01032,val_confirm_01032,val_confirm_01032,val_confirm,train,train_added
train_05232,train_05232,train_05232,train,train,train_legacy
train_added_test_00084,test_00084,test_00084,test,train,train_added
train_00124,train_00124,train_00124,train,train,train_legacy
train_03014,train_03014,train_03014,train,train,train_legacy
train_05378,train_05378,train_05378,train,train,train_legacy
train_added_test_00034,test_00034,test_00034,test,train,train_added
train_01537,train_01537,train_01537,train,train,train_legacy
train_added_test_00687,test_00687,test_00687,test,train,train_added
train_00145,train_00145,train_00145,train,train,train_legacy
train_05785,train_05785,train_05785,train,train,train_legacy
train_added_test_00908,test_00908,test_00908,test,train,train_added
train_01899,train_01899,train_01899,train,train,train_legacy
train_03082,train_03082,train_03082,train,train,train_legacy
train_01157,train_01157,train_01157,train,train,train_legacy
train_03621,train_03621,train_03621,train,train,train_legacy
train_00113,train_00113,train_00113,train,train,train_legacy
train_02897,train_02897,train_02897,train,train,train_legacy
train_04327,train_04327,train_04327,train,train,train_legacy
train_01783,train_01783,train_01783,train,train,train_legacy
train_01493,train_01493,train_01493,train,train,train_legacy
train_01874,train_01874,train_01874,train,train,train_legacy
train_added_test_02342,test_02342,test_02342,test,train,train_added
train_01782,train_01782,train_01782,train,train,train_legacy
train_05042,train_05042,train_05042,train,train,train_legacy
train_added_test_01404,test_01404,test_01404,test,train,train_added
train_02847,train_02847,train_02847,train,train,train_legacy
train_01988,train_01988,train_01988,train,train,train_legacy
train_00438,train_00438,train_00438,train,train,train_legacy
train_03946,train_03946,train_03946,train,train,train_legacy
train_02414,train_02414,train_02414,train,train,train_legacy
train_01346,train_01346,train_01346,train,train,train_legacy
train_00276,train_00276,train_00276,train,train,train_legacy
train_05138,train_05138,train_05138,train,train,train_legacy
train_02769,train_02769,train_02769,train,train,train_legacy
train_01276,train_01276,train_01276,train,train,train_legacy
train_05928,train_05928,train_05928,train,train,train_legacy
train_02127,train_02127,train_02127,train,train,train_legacy
train_02627,train_02627,train_02627,train,train,train_legacy
train_05522,train_05522,train_05522,train,train,train_legacy
train_03237,train_03237,train_03237,train,train,train_legacy
train_00726,train_00726,train_00726,train,train,train_legacy
train_01302,train_01302,train_01302,train,train,train_legacy
train_added_val_confirm_00262,val_confirm_00262,val_confirm_00262,val_confirm,train,train_added
train_00755,train_00755,train_00755,train,train,train_legacy
train_03268,train_03268,train_03268,train,train,train_legacy
train_01507,train_01507,train_01507,train,train,train_legacy
train_01456,train_01456,train_01456,train,train,train_legacy
train_05187,train_05187,train_05187,train,train,train_legacy
train_added_val_confirm_00959,val_confirm_00959,val_confirm_00959,val_confirm,train,train_added
train_03656,train_03656,train_03656,train,train,train_legacy
train_05347,train_05347,train_05347,train,train,train_legacy
train_added_val_search_00271,val_search_00271,val_search_00271,val_search,train,train_added
train_03629,train_03629,train_03629,train,train,train_legacy
train_04153,train_04153,train_04153,train,train,train_legacy
train_03829,train_03829,train_03829,train,train,train_legacy
train_03362,train_03362,train_03362,train,train,train_legacy
train_04689,train_04689,train_04689,train,train,train_legacy
train_04477,train_04477,train_04477,train,train,train_legacy
train_03994,train_03994,train_03994,train,train,train_legacy
train_added_test_00719,test_00719,test_00719,test,train,train_added
train_05936,train_05936,train_05936,train,train,train_legacy
train_01791,train_01791,train_01791,train,train,train_legacy
train_00731,train_00731,train_00731,train,train,train_legacy
train_01860,train_01860,train_01860,train,train,train_legacy
train_04658,train_04658,train_04658,train,train,train_legacy
train_04461,train_04461,train_04461,train,train,train_legacy
train_02784,train_02784,train_02784,train,train,train_legacy
train_01672,train_01672,train_01672,train,train,train_legacy
train_03607,train_03607,train_03607,train,train,train_legacy
train_04698,train_04698,train_04698,train,train,train_legacy
train_05601,train_05601,train_05601,train,train,train_legacy
train_05661,train_05661,train_05661,train,train,train_legacy
train_02664,train_02664,train_02664,train,train,train_legacy
train_03160,train_03160,train_03160,train,train,train_legacy
train_03638,train_03638,train_03638,train,train,train_legacy
train_added_test_01832,test_01832,test_01832,test,train,train_added
train_00932,train_00932,train_00932,train,train,train_legacy
train_02919,train_02919,train_02919,train,train,train_legacy
train_added_val_confirm_00640,val_confirm_00640,val_confirm_00640,val_confirm,train,train_added
train_05967,train_05967,train_05967,train,train,train_legacy
train_04109,train_04109,train_04109,train,train,train_legacy
train_03961,train_03961,train_03961,train,train,train_legacy
train_04399,train_04399,train_04399,train,train,train_legacy
train_05294,train_05294,train_05294,train,train,train_legacy
train_04020,train_04020,train_04020,train,train,train_legacy
train_05627,train_05627,train_05627,train,train,train_legacy
train_04582,train_04582,train_04582,train,train,train_legacy
train_01437,train_01437,train_01437,train,train,train_legacy
train_02920,train_02920,train_02920,train,train,train_legacy
train_01398,train_01398,train_01398,train,train,train_legacy
train_02473,train_02473,train_02473,train,train,train_legacy
train_04042,train_04042,train_04042,train,train,train_legacy
train_02115,train_02115,train_02115,train,train,train_legacy
train_00214,train_00214,train_00214,train,train,train_legacy
train_05719,train_05719,train_05719,train,train,train_legacy
train_02228,train_02228,train_02228,train,train,train_legacy
train_00453,train_00453,train_00453,train,train,train_legacy
train_02048,train_02048,train_02048,train,train,train_legacy
train_03652,train_03652,train_03652,train,train,train_legacy
train_00048,train_00048,train_00048,train,train,train_legacy
train_03586,train_03586,train_03586,train,train,train_legacy
train_05950,train_05950,train_05950,train,train,train_legacy
train_03937,train_03937,train_03937,train,train,train_legacy
train_01262,train_01262,train_01262,train,train,train_legacy
train_04614,train_04614,train_04614,train,train,train_legacy
train_added_val_search_00376,val_search_00376,val_search_00376,val_search,train,train_added
train_added_test_00950,test_00950,test_00950,test,train,train_added
train_05045,train_05045,train_05045,train,train,train_legacy
train_01367,train_01367,train_01367,train,train,train_legacy
train_02611,train_02611,train_02611,train,train,train_legacy
train_added_val_confirm_00846,val_confirm_00846,val_confirm_00846,val_confirm,train,train_added
train_added_test_00619,test_00619,test_00619,test,train,train_added
